                                         PROGRAMA DE PEDIDOS

Fecha             Codigo del Producto        Cantidad            Monto     Prioridad
====================================================================================================
26/06/2021              961802                   1                1.00        SI
11/09/2021              675770                   2               10.00        SI
19/04/2021              872819                   6               12.00        SI
26/01/2021              126218                  11                5.50        SI
29/05/2021              826317                   4                4.00        SI
01/07/2021              793026                  10               50.00        SI
19/04/2021              406688                   1                0.50        SI
12/03/2021              390920                   5               10.00        SI
22/03/2021              317404                   2                4.00        SI
10/07/2021              662083                   2               10.00        SI
06/05/2021              415932                  11               33.00        SI
19/03/2021              511824                   7               21.00        SI
06/07/2021              170844                   9               27.00        SI
05/02/2021              422763                   3                1.50        SI
29/05/2021              459032                  10               30.00        SI
01/01/2021              285807                   4               20.00        NO
01/01/2021              580927                   4               20.00        NO
01/01/2021              882099                   1                5.00        NO
04/01/2021              485302                   5               25.00        NO
05/01/2021              374253                   5                5.00        NO
05/01/2021              690039                   8                8.00        NO
15/01/2021              179485                  11               55.00        NO
17/01/2021              485302                   8               40.00        NO
24/01/2021              748899                   9                9.00        NO
01/02/2021              947176                   6               18.00        NO
03/02/2021              947176                   6               18.00        NO
10/02/2021              151641                   4                8.00        NO
27/02/2021              882099                   2               10.00        NO
04/03/2021              308982                  11               22.00        NO
05/03/2021              283781                   7               35.00        NO
09/03/2021              118050                  11               11.00        NO
09/03/2021              947176                   2                6.00        NO
13/03/2021              204890                   6               12.00        NO
16/03/2021              178943                   2                6.00        NO
19/03/2021              923804                   7                7.00        NO
24/03/2021              374253                   4                4.00        NO
15/04/2021              308982                  10               20.00        NO
17/04/2021              856894                  12              120.00        NO
18/04/2021              748008                   3               15.00        NO
21/04/2021              935218                   2                6.00        NO
22/04/2021              390920                   8               16.00        NO
23/04/2021              620036                   8               40.00        NO
24/04/2021              308982                   3                6.00        NO
28/04/2021              422763                   4                2.00        NO
30/04/2021              118050                   5                5.00        NO
09/05/2021              997564                  12               12.00        NO
14/05/2021              390920                   4                8.00        NO
18/05/2021              430669                  10               30.00        NO
19/05/2021              620036                   4               20.00        NO
19/05/2021              900698                   5               25.00        NO
20/05/2021              317404                   3                6.00        NO
27/05/2021              178943                   1                3.00        NO
28/05/2021              455703                   2               10.00        NO
29/05/2021              459032                   8               24.00        NO
31/05/2021              511824                   4               12.00        NO
02/06/2021              856894                   5               50.00        NO
05/06/2021              415932                   7               21.00        NO
05/06/2021              565169                   5               10.00        NO
06/06/2021              317404                  11               22.00        NO
28/06/2021              412041                   9               45.00        NO
01/07/2021              412041                   3               15.00        NO
04/07/2021              415932                   1                3.00        NO
05/07/2021              485302                   9               45.00        NO
13/07/2021              365379                   4               16.00        NO
13/07/2021              793026                   7               35.00        NO
14/07/2021              434681                   4                4.00        NO
17/07/2021              126218                   3                1.50        NO
18/07/2021              565169                   5               10.00        NO
20/07/2021              151641                   6               12.00        NO
25/07/2021              485302                   1                5.00        NO
26/07/2021              748899                  11               11.00        NO
27/07/2021              941699                   9               27.00        NO
29/07/2021              941699                   3                9.00        NO
30/07/2021              311343                  11               55.00        NO
02/08/2021              422763                   4                2.00        NO
03/08/2021              406688                   9                4.50        NO
05/08/2021              785062                   4                8.00        NO
06/08/2021              311343                   4               20.00        NO
07/08/2021              874503                   1                1.00        NO
13/08/2021              415932                   1                3.00        NO
15/08/2021              923804                  11               11.00        NO
16/08/2021              582920                  10               40.00        NO
17/08/2021              365906                  11               11.00        NO
23/08/2021              308982                   6               12.00        NO
02/09/2021              901816                   5               15.00        NO
07/09/2021              793026                   7               35.00        NO
21/09/2021              308982                   7               14.00        NO
23/09/2021              422763                   2                1.00        NO
25/09/2021              856894                   1               10.00        NO
27/09/2021              979865                  10                5.00        NO
29/09/2021              317404                   5               10.00        NO
02/10/2021              696000                   8               40.00        NO
03/10/2021              330512                   1                3.00        NO
04/10/2021              961802                  12               12.00        NO
06/10/2021              182942                   3                3.00        NO
06/10/2021              997564                   1                1.00        NO
07/10/2021              374253                   9                9.00        NO
09/10/2021              900698                   5               25.00        NO
10/10/2021              565169                  11               22.00        NO
10/10/2021              992564                   2                1.00        NO
12/10/2021              182942                   2                2.00        SI
15/10/2021              856894                   7               70.00        NO
18/10/2021              397718                   0                0.00        NO
19/10/2021              406688                   9                4.50        NO
20/10/2021              675770                   5               25.00        NO
20/10/2021              872819                   1                2.00        NO
26/10/2021              412041                   2               10.00        NO
02/11/2021              979865                   9                4.50        NO
05/11/2021              992564                   3                1.50        NO
09/11/2021              423073                  12               12.00        NO
11/11/2021              651034                   3               15.00        NO
22/11/2021              778066                   9                9.00        NO
23/11/2021              714788                   7               21.00        NO
26/11/2021              330512                   6               18.00        NO
28/11/2021              126218                   6                3.00        NO
29/11/2021              434681                   9                9.00        NO
29/11/2021              536472                   3               15.00        NO
29/11/2021              582920                   6               24.00        NO
02/12/2021              696000                   8               40.00        NO
03/12/2021              536472                   6               30.00        NO
13/12/2021              459032                   5               15.00        NO
16/12/2021              118050                   8                8.00        NO
17/12/2021              365906                   9                9.00        NO
19/12/2021              330512                   1                3.00        NO
26/12/2021              178943                   9               27.00        NO
27/12/2021              901816                   2                6.00        NO
28/12/2021              696000                   1                5.00        NO
30/12/2021              935218                   1                3.00        NO
31/12/2021              536472                  12               60.00        NO
