                                                REPORTE DE LIBROS
==============================================================================================================
CODIGO      NOMBRE                                                           AUTOR
==============================================================================================================
ACM9578   Amadis de gaula                                                  Garci Rodriguez Montalvo                
AGQ7769   La Flecha Negra                                                  Robert Louis Stevenson                  
AKU9740   Conversacion en La Catedral                                      Mario Vargas Llosa                      
ALH8812   Guerra y Paz                                                     Leon Tolstoi                            
AZL1098   El extranjero                                                    Albert Camus                            
BAP2859   El túnel                                                         Ernesto Sabato                          
BDK4183   La isla del tesoro                                               Robert Louis Stevenson                  
BHD6079   Zorba el griego                                                  Nikos Kazantzakis                       
BRG4234   La telarania de Carlota                                          E. B. White                             
BSX2922   Una historia de Espania                                          Arturo Perez-Reverte                    
BTX3816   El jugador                                                       Fiodor Dostoyevski                      
BUB3833   Otelo                                                            William Shakespeare                     
BUC5125   El faro de Stalingrado                                           Iain MacGregor                          
BUT4998   Lolita                                                           Vladimir Nabokov                        
BUY4915   La sombra del aguila                                             Arturo Perez-Reverte                    
BXE0974   Los viajes de Gulliver                                           Jonathan Swift                          
BZX4462   Culpa mia                                                        Mercedes Ron                            
BZY0235   Fausto                                                           Johann Wolfgang Von Goethe              
CJN4376   Harry Potter y la camara secreta (Harry Potter 2)                J. K. Rowling                           
CKC4095   El Gran Gatsby                                                   F. Scott Fitzgerald                     
CKR6798   El lobo estepario                                                Hermann Hesse                           
CLG5566   Pantaleon y las visitadoras                                      Mario Vargas Llosa                      
CMP1150   Don Quijote de la Mancha                                         Miguel de Cervantes                     
CPE5718   Paris era una fiesta                                             Hernest Hemingway                       
CRA4157   El forastero misterioso                                          Mark Twain                              
CRR5443   Un mundo feliz                                                   Aldous Huxley                           
CRY6839   Ricardo III                                                      William Shakespeare                     
CST1133   Inferno                                                          Dan Brown                               
CTW5846   El medievo cristiano                                             Mario Merlino                           
CUV7849   Ficciones                                                        Jorge Luis Borges                       
CXW5879   Los barcos se pierden en tierra                                  Arturo Perez-Reverte                    
DDQ0721   En busca del tiempo perdido                                      Marcel Proust                           
DDT0017   Viaje al fin de la noche                                         Louis Ferdinand Celine                  
DDU0764   Dioses tumbas y sabios                                           C. W. Ceram                             
DEF7625   Las uvas de la ira                                               John SteinbecK                          
DEK2757   En llamas                                                        Suzanne Collins                         
DND9446   Lo que el viento se llevo                                        Margaret Mitchell                       
DPZ8059   El hombre que pudo reinar                                        Rudyard Kipling                         
DTH6788   Los perros duros no bailan                                       Arturo Perez-Reverte                    
DVL7760   Falco                                                            Arturo Perez-Reverte                    
DVR5984   Mil soles esplendidos                                            Khaled Hosseini                         
DXP8640   El retrato de Dorian Gray                                        Oscar Wilde                             
EBE0042   Capitanes intrepidos                                             Rudyard Kipling                         
EBT7258   Linea de fuego                                                   Arturo Perez-Reverte                    
ECT0289   Juego de tronos                                                  George R.R.Martin                       
EDQ0577   Las aventuras de Pinocho                                         Carlo Collodi                           
EEJ4830   El Principito                                                    Antoine de Saint-Exupery                
EFD3949   La divina comedia                                                Dante Alighieri                         
EFQ0297   Trampa 22                                                        Joseph Heller                           
EHX6253   La isla de las tormentas                                         Ken Follett                             
EJE8138   Yawar fiesta                                                     Jose Maria Arguedas                     
ELC8965   Las aventuras de Rocambole                                       Ponson Du Terrail                       
ETV5056   Moby Dick                                                        Herman Melville                         
ETZ8565   Confesiones de una mascara                                       Yukio Mishima                           
EUO8195   El jardin del Eden                                               Hernest Hemingway                       
EWI3090   La seniora Dalloway                                              Virginia Woolf                          
EYV0597   Cuentos de la selva                                              Horacio Quiroga                         
EZP0333   La Reina del Sur                                                 Arturo Perez-Reverte                    
FBO8724   El pendulo de Foucault                                           Umberto Eco                             
FKK6524   Los renglones torcidos de Dios                                   Torcuato Luca de Tena                   
FMX8255   Las aventuras de Huckleberry Finn                                Mark Twain                              
FNM6936   Divina comedia                                                   Dante Alighieri                         
FVV9246   Matar a un ruisenior                                             Harper Lee                              
